Line Item Date,Item ID,Order ID,Item Name,Currency,Per Unit Quantity,Item Unit,Item Revenue,Modifiers,Modifiers Revenue,Total Revenue,Discounts,Total Discount,Total
26-Nov-2016 02:22 AM CST,7ARY9ZZRXV6JM,XB2BSEDS8XMEJ,Pastor Alambre,USD,,,7.99,,,7.99,,,7.99
26-Nov-2016 02:20 AM CST,NXH69W6J51ZTA,1B1KY791T524Y,Fajita Mini Flour,USD,,,2.19,,,2.19,,,2.19
26-Nov-2016 02:20 AM CST,NXH69W6J51ZTA,1B1KY791T524Y,Fajita Mini Flour,USD,,,2.19,,,2.19,,,2.19
26-Nov-2016 02:19 AM CST,W4DCH6N3BSWS6,V2DECFPHXVQ7Y,Water Bottle,USD,,,1.49,,,1.49,,,1.49
26-Nov-2016 02:19 AM CST,3JMTA6EHD4P7C,V2DECFPHXVQ7Y,The Imposible Large,USD,,,8.99,Add Avocado (8YWPPNNN7FREG) $1.25,1.25,10.24,,,10.24
26-Nov-2016 02:16 AM CST,PK3ZSD77AY2CR,24VMXJTM4D6QP,Gringa Large,USD,,,7.99,,,7.99,,,7.99
26-Nov-2016 02:16 AM CST,PK3ZSD77AY2CR,24VMXJTM4D6QP,Gringa Large,USD,,,7.99,,,7.99,,,7.99
26-Nov-2016 02:16 AM CST,Q37CGAJFE3PXG,24VMXJTM4D6QP,Mexican Coke,USD,,,2.59,,,2.59,,,2.59
26-Nov-2016 02:16 AM CST,W4DCH6N3BSWS6,24VMXJTM4D6QP,Water Bottle,USD,,,1.49,,,1.49,,,1.49
26-Nov-2016 02:16 AM CST,W4DCH6N3BSWS6,24VMXJTM4D6QP,Water Bottle,USD,,,1.49,,,1.49,,,1.49
26-Nov-2016 02:16 AM CST,W4DCH6N3BSWS6,24VMXJTM4D6QP,Water Bottle,USD,,,1.49,,,1.49,,,1.49
26-Nov-2016 02:16 AM CST,ZTKZYJZMTYMZP,24VMXJTM4D6QP,Fajita Tostada,USD,,,5.99,,,5.99,,,5.99
26-Nov-2016 02:16 AM CST,ZTKZYJZMTYMZP,24VMXJTM4D6QP,Fajita Tostada,USD,,,5.99,,,5.99,,,5.99
26-Nov-2016 02:16 AM CST,ZTKZYJZMTYMZP,24VMXJTM4D6QP,Fajita Tostada,USD,,,5.99,,,5.99,,,5.99
26-Nov-2016 02:16 AM CST,C91XHS7WBAXAJ,24VMXJTM4D6QP,Frijoles Charros,USD,,,2.49,,,2.49,,,2.49
26-Nov-2016 02:16 AM CST,2YB12G5M5BT8E,24VMXJTM4D6QP,Pastor Mini Corn (5),USD,,,7.99,Add Avocado (95NP8WH7Y3H5J) $1.25,1.25,9.24,,,9.24
26-Nov-2016 02:16 AM CST,NW13SSEQ5M34G,24VMXJTM4D6QP,Fajita Mini Corn (5),USD,,,7.99,,,7.99,,,7.99
26-Nov-2016 02:13 AM CST,W4DCH6N3BSWS6,W38R8T6ETH3C6,Water Bottle,USD,,,1.49,,,1.49,,,1.49
26-Nov-2016 02:13 AM CST,K4HWNABF13GGT,W38R8T6ETH3C6,Fajita Quesadilla Single,USD,,,3.75,Flour (DF24ZWC6A43FA) $0.00,0.00,3.75,,,3.75
26-Nov-2016 02:13 AM CST,W4DCH6N3BSWS6,W38R8T6ETH3C6,Water Bottle,USD,,,1.49,,,1.49,,,1.49
26-Nov-2016 02:13 AM CST,G6TBG8Z93T2AW,W38R8T6ETH3C6,Fajita Mini Flour (4),USD,,,7.99,Add Fresh Cheese (QVQ33SQJ4T0BM) $1.25,1.25,9.24,,,9.24
26-Nov-2016 02:13 AM CST,Q37CGAJFE3PXG,W38R8T6ETH3C6,Mexican Coke,USD,,,2.59,,,2.59,,,2.59
26-Nov-2016 02:13 AM CST,3JMTA6EHD4P7C,W38R8T6ETH3C6,The Imposible Large,USD,,,8.99,Add Avocado (8YWPPNNN7FREG) $1.25,1.25,10.24,,,10.24
26-Nov-2016 02:12 AM CST,W4DCH6N3BSWS6,Y5HC5697XDDCR,Water Bottle,USD,,,1.49,,,1.49,,,1.49
26-Nov-2016 02:12 AM CST,3JMTA6EHD4P7C,Y5HC5697XDDCR,The Imposible Large,USD,,,8.99,Add Avocado (8YWPPNNN7FREG) $1.25,1.25,10.24,,,10.24
26-Nov-2016 02:05 AM CST,Q37CGAJFE3PXG,4KKNHDGRXPEZY,Mexican Coke,USD,,,2.59,,,2.59,,,2.59
26-Nov-2016 02:05 AM CST,Z5N5AX99YB5JJ,4KKNHDGRXPEZY,Frijoles Charros with Chorizo,USD,,,3.49,,,3.49,,,3.49
26-Nov-2016 02:05 AM CST,3JMTA6EHD4P7C,4KKNHDGRXPEZY,The Imposible Large,USD,,,8.99,Add Avocado (8YWPPNNN7FREG) $1.25,1.25,10.24,,,10.24
26-Nov-2016 01:30 AM CST,Q37CGAJFE3PXG,A5YHPD7TB7BQA,Mexican Coke,USD,,,2.59,,,2.59,,,2.59
26-Nov-2016 01:30 AM CST,W4DCH6N3BSWS6,A5YHPD7TB7BQA,Water Bottle,USD,,,1.49,,,1.49,,,1.49
26-Nov-2016 01:30 AM CST,Q37CGAJFE3PXG,A5YHPD7TB7BQA,Mexican Coke,USD,,,2.59,,,2.59,,,2.59
26-Nov-2016 01:30 AM CST,Q37CGAJFE3PXG,A5YHPD7TB7BQA,Mexican Coke,USD,,,2.59,,,2.59,,,2.59
26-Nov-2016 01:30 AM CST,QT8K87WB2Q66M,A5YHPD7TB7BQA,Chorizo Quesadilla Single,USD,,,3.75,Flour (DF24ZWC6A43FA) $0.00,0.00,3.75,,,3.75
26-Nov-2016 01:30 AM CST,X98B5FA06X1TJ,A5YHPD7TB7BQA,Chicken Mini Corn (5),USD,,,7.99,,,7.99,,,7.99
26-Nov-2016 01:30 AM CST,NW13SSEQ5M34G,A5YHPD7TB7BQA,Fajita Mini Corn (5),USD,,,7.99,,,7.99,,,7.99
26-Nov-2016 01:28 AM CST,W4DCH6N3BSWS6,P6CWAY8A97FME,Water Bottle,USD,,,1.49,,,1.49,,,1.49
26-Nov-2016 01:28 AM CST,ZBSHBH2WX3J20,P6CWAY8A97FME,Free Single Gringa Coupon,USD,,,0.00,,,0.00,,,0.00
